class_id,class_name,rank,feature,coefficient
3,Claude,3,stylometric__ns,1.50777
3,Claude,4,stylometric__ch,1.2299
3,Claude,5,stylometric__apc,1.2299
3,Claude,6,stylometric__vss,1.05165
3,Claude,7,stylometric__awl,0.93843
3,Claude,8,stylometric__text_len_log,0.58601
3,Claude,9,stylometric__nw_per_p,0.53101
3,Claude,10,stylometric__nw,0.53101
3,Claude,11,function_word_tfidf__through,0.5237
3,Claude,12,stylometric__per,0.42148
3,Claude,13,function_word_tfidf__during,0.34106
3,Claude,14,function_word_tfidf__particularly,0.33945
3,Claude,15,word_tfidf__enable,0.23507
3,Claude,16,word_tfidf__however,0.21644
3,Claude,17,word_tfidf__enables,0.21488
3,Claude,18,function_word_tfidf__without,0.20984
3,Claude,19,word_tfidf__support,0.20171
3,Claude,20,function_word_tfidf__some,0.20122
3,Claude,21,stylometric__trans_rate,0.19883
3,Claude,22,function_word_tfidf__from,0.19239
3,Claude,23,word_tfidf__represents,0.18522
3,Claude,24,function_word_tfidf__for,0.16995
3,Claude,25,function_word_tfidf__when,0.16358
3,Claude,26,word_tfidf__health,0.16111
3,Claude,27,word_tfidf__improves,0.15956
3,Claude,28,function_word_tfidf__most,0.15859
3,Claude,29,function_word_tfidf__among,0.15604
3,Claude,30,word_tfidf__supports,0.15283
3,Claude,31,function_word_tfidf__with,0.15107
3,Claude,32,stylometric__sent_cv,0.14995
3,Claude,33,word_tfidf__treatment,0.14855
3,Claude,34,word_tfidf__populations,0.14573
3,Claude,35,word_tfidf__systems,0.14386
3,Claude,36,word_tfidf__technology,0.14151
3,Claude,37,word_tfidf__reduces,0.13598
3,Claude,38,word_tfidf__programs,0.13251
3,Claude,39,word_tfidf__wellbeing,0.13052
3,Claude,40,word_tfidf__access,0.12391
3,Claude,41,word_tfidf__improving,0.12302
3,Claude,42,word_tfidf__recovery,0.11985
3,Claude,43,word_tfidf__substantially,0.11958
3,Claude,44,word_tfidf__provide,0.11682
3,Claude,45,word_tfidf__investment,0.11617
3,Claude,46,word_tfidf__costs,0.11611
3,Claude,47,word_tfidf__productivity,0.11416
3,Claude,48,char_tfidf__enable,0.11257
3,Claude,49,word_tfidf__represents a,0.11136
3,Claude,50,char_tfidf__ enabl,0.11106
4,Gemini,1,function_word_tfidf__our,1.80863
4,Gemini,2,function_word_tfidf__we,1.37292
4,Gemini,3,function_word_tfidf__is,1.36332
4,Gemini,4,function_word_tfidf__a,1.15255
4,Gemini,5,function_word_tfidf__more,0.85403
4,Gemini,6,function_word_tfidf__can,0.84728
4,Gemini,7,function_word_tfidf__their,0.78496
4,Gemini,8,function_word_tfidf__these,0.73524
4,Gemini,9,function_word_tfidf__by,0.72067
4,Gemini,10,function_word_tfidf__every,0.68582
4,Gemini,11,function_word_tfidf__us,0.6721
4,Gemini,12,function_word_tfidf__has,0.64438
4,Gemini,13,stylometric__vls,0.54333
4,Gemini,14,function_word_tfidf__for,0.52964
4,Gemini,15,function_word_tfidf__that,0.52016
4,Gemini,16,function_word_tfidf__must,0.49443
4,Gemini,17,function_word_tfidf__moreover,0.45392
4,Gemini,18,function_word_tfidf__of,0.43592
4,Gemini,19,function_word_tfidf__whether,0.42977
4,Gemini,20,function_word_tfidf__the,0.38582
4,Gemini,21,function_word_tfidf__where,0.35755
4,Gemini,22,function_word_tfidf__most,0.34708
4,Gemini,23,function_word_tfidf__to,0.34443
4,Gemini,24,stylometric__text_len_log,0.34387
4,Gemini,25,stylometric__nw_per_s,0.31486
4,Gemini,26,function_word_tfidf__being,0.30685
4,Gemini,27,function_word_tfidf__just,0.30061
4,Gemini,28,word_tfidf__we can,0.29222
4,Gemini,29,word_tfidf__our,0.29094
4,Gemini,30,function_word_tfidf__furthermore,0.28911
4,Gemini,31,word_tfidf__shared,0.284
4,Gemini,32,function_word_tfidf__an,0.2812
4,Gemini,33,word_tfidf__a more,0.27799
4,Gemini,34,word_tfidf__future,0.27664
4,Gemini,35,word_tfidf__build a,0.26573
4,Gemini,36,word_tfidf__build,0.26075
4,Gemini,37,word_tfidf__power of,0.25765
4,Gemini,38,function_word_tfidf__its,0.25621
4,Gemini,39,word_tfidf__ensuring,0.24866
4,Gemini,40,word_tfidf__is a,0.24345
4,Gemini,41,word_tfidf__of these,0.2372
4,Gemini,42,word_tfidf__the power,0.23634
4,Gemini,43,function_word_tfidf__as,0.23103
4,Gemini,44,word_tfidf__world,0.22727
4,Gemini,45,word_tfidf__global,0.2233
4,Gemini,46,function_word_tfidf__all,0.22311
4,Gemini,47,word_tfidf__commitment to,0.22308
4,Gemini,48,word_tfidf__a testament,0.2228
4,Gemini,49,word_tfidf__testament to,0.22225
4,Gemini,50,word_tfidf__testament,0.221
5,ChatGPT,1,stylometric__cm,2.95465
5,ChatGPT,2,stylometric__lwr,1.04919
5,ChatGPT,3,function_word_tfidf__of,0.95785
5,ChatGPT,4,function_word_tfidf__how,0.86587
5,ChatGPT,5,function_word_tfidf__with,0.82629
5,ChatGPT,6,function_word_tfidf__yet,0.80629
5,ChatGPT,7,function_word_tfidf__the,0.78293
5,ChatGPT,8,function_word_tfidf__and,0.77817
5,ChatGPT,9,stylometric__awl,0.76878
5,ChatGPT,10,function_word_tfidf__between,0.73546
5,ChatGPT,11,function_word_tfidf__while,0.63713
5,ChatGPT,12,stylometric__text_len_log,0.63383
5,ChatGPT,13,function_word_tfidf__that,0.48273
5,ChatGPT,14,function_word_tfidf__quite,0.46312
5,ChatGPT,15,function_word_tfidf__also,0.39176
5,ChatGPT,16,function_word_tfidf__to,0.38131
5,ChatGPT,17,function_word_tfidf__into,0.33389
5,ChatGPT,18,function_word_tfidf__or,0.31632
5,ChatGPT,19,word_tfidf__ultimately,0.30975
5,ChatGPT,20,function_word_tfidf__being,0.30423
5,ChatGPT,21,word_tfidf__studying,0.2853
5,ChatGPT,22,function_word_tfidf__not,0.27667
5,ChatGPT,23,word_tfidf__awareness,0.27112
5,ChatGPT,24,word_tfidf__human,0.26929
5,ChatGPT,25,function_word_tfidf__simply,0.25885
5,ChatGPT,26,function_word_tfidf__within,0.25096
5,ChatGPT,27,word_tfidf__ecological,0.25028
5,ChatGPT,28,word_tfidf__awareness of,0.2488
5,ChatGPT,29,word_tfidf__understanding,0.24256
5,ChatGPT,30,function_word_tfidf__each,0.23959
5,ChatGPT,31,stylometric__ch,0.23885
5,ChatGPT,32,stylometric__apc,0.23885
5,ChatGPT,33,stylometric__sent_range,0.23385
5,ChatGPT,34,word_tfidf__interdisciplinary,0.22983
5,ChatGPT,35,word_tfidf__analytical,0.22497
5,ChatGPT,36,word_tfidf__environmental,0.2244
5,ChatGPT,37,stylometric__sent_cv,0.2185
5,ChatGPT,38,word_tfidf__reasoning,0.21836
5,ChatGPT,39,word_tfidf__cultural,0.21529
5,ChatGPT,40,word_tfidf__collaboration,0.21493
5,ChatGPT,41,function_word_tfidf__may,0.21282
5,ChatGPT,42,word_tfidf__field,0.20836
5,ChatGPT,43,word_tfidf__engagement,0.20755
5,ChatGPT,44,word_tfidf__researchers,0.20693
5,ChatGPT,45,word_tfidf__interdisciplinary collaboration,0.20425
5,ChatGPT,46,word_tfidf__informs,0.20222
5,ChatGPT,47,word_tfidf__collaboration with,0.20176
5,ChatGPT,48,function_word_tfidf__are,0.20062
5,ChatGPT,49,word_tfidf__insight,0.19886
5,ChatGPT,50,word_tfidf__solving,0.19764
